#OTU ID	Bn27	Bn28	Bn31	Bn32	Bn35	Bn36	Bn63	Bn64	Bn67	Bn68	Bn71	Bn72
OTU1892	1	1	0	0	0	0	0	0	6	0	0	0
OTU67	11	13	8	13	13	43	5	11	14	10	37	33
OTU2041	0	0	0	0	2	6	0	1	0	0	5	9
OTU225	9	9	3	9	4	6	5	5	6	14	2	6
OTU714	8	2	2	5	1	2	6	5	8	4	0	0
OTU1456	3	2	1	7	3	12	1	6	3	2	5	4
OTU142	15	5	4	8	18	28	2	8	2	2	30	43
OTU1230	1	0	0	0	0	1	0	0	0	0	0	3
OTU1027	1	1	0	0	2	1	0	1	2	0	3	1
OTU285	6	1	2	2	1	0	2	2	6	0	3	4
OTU964	3	0	3	0	0	0	1	0	0	1	0	0
OTU24	3	2	2	0	36	1	4	1	6	1	1	4
OTU277	1	2	3	1	5	0	1	0	1	0	0	0
OTU179	7	5	1	6	3	9	6	10	5	7	8	18
OTU758	1	2	0	0	0	0	1	1	0	1	0	0
OTU521	3	4	1	0	1	0	4	3	2	1	2	0
OTU821	1	1	1	0	0	1	2	1	1	3	0	4
OTU145	5	2	0	1	1	1	2	0	2	1	8	9
OTU1410	0	1	2	1	0	0	0	0	0	1	0	0
OTU669	0	0	0	0	0	1	4	0	0	0	6	3
OTU231	0	2	0	4	0	0	13	9	4	5	0	0
OTU2015	0	1	0	0	0	0	2	1	0	0	0	1
OTU268	2	2	2	2	0	0	2	5	7	3	3	5
OTU100	25	20	29	21	32	53	26	25	34	18	43	45
OTU12	7	0	0	0	72	7	2	0	0	0	1	1
OTU4	17	6	53	1	50	5	17	7	70	1	2	6
OTU1038	1	0	0	0	0	0	0	0	0	0	0	0
OTU37	24	7	11	5	13	12	14	8	13	7	8	9
OTU251	0	0	0	0	0	1	1	0	0	0	1	2
OTU1184	1	0	12	0	3	0	0	1	13	1	0	0
OTU1425	0	0	0	0	1	0	1	0	0	0	0	0
OTU17	0	0	7	0	5	0	1	0	6	0	0	0
OTU149	15	12	14	5	6	6	14	6	11	9	9	6
OTU1341	0	0	0	0	0	0	0	0	0	0	1	1
OTU1972	0	0	0	0	0	0	1	0	0	0	0	0
OTU31	23	34	69	26	45	18	31	28	40	28	13	19
OTU2046	0	0	0	0	0	0	1	0	0	0	0	0
OTU1615	0	0	28	0	25	0	3	1	8	0	2	0
OTU3	23	11	540	14	262	6	46	10	132	12	15	8
OTU1545	0	0	4	6	11	0	1	1	0	5	0	0
OTU419	5	2	6	14	25	14	0	1	3	0	4	3
OTU428	1	3	6	0	0	0	0	0	0	1	0	0
OTU77	3	2	13	2	18	2	1	1	2	2	1	2
OTU1141	0	0	0	0	0	0	1	0	0	0	0	1
OTU439	3	4	3	12	3	6	2	5	7	9	0	3
OTU571	9	11	10	25	10	14	8	13	3	12	0	1
OTU1890	0	0	4	0	0	0	1	1	0	0	0	0
OTU34	37	70	186	216	111	64	33	80	42	84	18	35
OTU220	20	14	21	30	29	31	47	33	46	28	47	42
OTU57	7	5	17	15	23	17	11	2	15	7	2	7
OTU628	0	0	0	0	0	1	0	0	0	0	5	0
OTU2032	2	1	3	3	0	0	0	1	3	1	0	0
OTU58	10	3	10	0	16	9	4	1	4	0	6	2
OTU128	0	0	0	1	2	0	0	0	0	0	0	0
OTU48	10	13	43	21	17	9	11	20	20	10	1	8
OTU222	7	7	29	13	27	30	10	11	5	6	8	18
OTU1607	1	1	1	0	1	7	0	2	3	0	4	4
OTU1724	1	3	0	3	0	0	0	0	0	2	0	0
OTU103	0	0	5	0	4	0	2	3	4	0	0	0
OTU1544	0	0	0	2	0	0	0	0	0	0	0	0
OTU1350	0	0	0	0	0	1	0	0	0	0	0	0
OTU1599	0	0	0	0	0	1	0	0	0	0	0	2
OTU831	1	0	0	0	0	0	0	0	0	0	0	0
OTU2074	0	0	0	0	0	1	1	0	0	0	0	0
OTU596	0	0	0	0	0	0	0	0	2	1	0	0
OTU2075	0	0	0	0	1	0	0	0	0	0	0	0
OTU1446	0	0	0	0	0	0	0	0	1	0	0	1
OTU2042	0	0	0	0	0	1	0	0	0	0	1	0
OTU1949	0	0	0	0	0	1	1	0	2	0	0	0
OTU1626	0	1	0	0	0	0	0	0	0	0	0	0
OTU923	0	0	0	0	0	0	1	0	0	1	0	0
OTU604	4	0	1	0	0	0	0	0	0	0	0	2
OTU1346	0	0	1	0	0	0	0	0	0	0	0	0
OTU756	0	0	2	0	0	0	0	0	0	0	0	0
OTU920	1	0	0	0	1	0	0	0	0	0	0	0
OTU1388	0	0	0	0	0	0	0	0	0	0	0	1
OTU1669	0	2	0	0	0	1	0	0	0	0	0	0
OTU1865	0	4	1	4	0	0	0	1	0	3	2	1
OTU1233	0	1	0	0	0	0	0	0	3	0	0	0
OTU1381	0	0	0	1	0	0	1	2	0	0	0	0
OTU1383	0	0	0	5	0	2	0	2	0	1	1	1
OTU1185	2	0	0	0	0	0	0	0	0	0	0	0
OTU1015	0	0	0	0	0	0	0	0	0	1	0	0
OTU1407	0	0	0	0	1	0	0	0	0	0	0	0
OTU1478	0	0	0	0	0	0	0	0	0	0	2	0
OTU1382	0	0	1	0	0	0	0	0	0	0	1	0
OTU1784	0	0	0	0	0	0	0	0	0	0	1	0
OTU1231	1	0	0	0	0	0	0	0	0	0	0	1
OTU1900	1	2	0	0	1	1	2	0	1	0	3	0
OTU2190	1	0	1	2	0	0	0	0	0	0	0	0
OTU1523	0	0	0	0	0	0	1	0	0	0	0	0
OTU1099	0	0	0	3	0	0	0	0	0	0	0	0
OTU1520	1	2	0	0	0	0	1	0	0	1	0	0
OTU1976	2	1	1	0	0	0	1	1	0	1	0	2
OTU1831	1	0	0	0	0	0	1	0	0	0	0	0
OTU1702	1	2	1	0	0	0	4	1	0	0	0	2
OTU865	0	1	0	2	0	1	0	0	1	1	0	1
OTU2187	0	2	0	0	0	0	2	0	0	0	0	0
OTU558	8	14	2	6	3	7	7	11	3	7	2	15
OTU1039	0	0	0	0	0	0	1	0	0	0	1	3
OTU823	0	1	0	2	0	0	1	2	1	5	0	4
OTU1546	0	1	0	0	2	5	2	2	0	0	0	2
OTU2158	1	1	0	2	0	0	2	1	2	3	0	0
OTU2016	0	0	0	0	0	0	3	0	0	0	0	0
OTU1830	0	0	0	0	0	0	0	2	0	0	0	2
OTU590	3	5	0	4	2	1	8	3	3	1	5	1
OTU1022	2	2	0	0	0	0	3	2	0	5	0	1
OTU504	0	2	2	0	0	2	1	2	2	0	1	0
OTU1377	1	3	0	1	0	2	4	1	0	1	0	0
OTU794	2	0	0	0	1	0	2	2	0	0	2	0
OTU1996	0	1	0	0	0	0	0	0	0	0	1	0
OTU1442	0	6	1	1	0	0	2	1	0	1	0	0
OTU453	1	0	0	0	0	0	0	1	0	0	3	2
OTU2143	2	0	0	1	0	3	1	0	0	0	0	0
OTU1338	0	0	0	1	0	0	0	0	2	0	0	0
OTU2081	1	1	0	0	0	1	0	0	0	1	1	1
OTU2162	0	1	0	1	0	0	2	2	0	1	0	0
OTU1750	0	1	0	0	0	1	1	0	2	1	0	0
OTU1440	0	0	0	0	0	0	0	0	0	0	6	3
OTU1530	0	0	0	1	0	0	1	0	0	0	0	0
OTU1512	0	0	0	0	1	0	0	0	0	0	0	0
OTU1680	0	0	0	0	0	0	0	0	0	0	0	3
OTU1006	0	0	0	0	0	1	0	0	0	0	0	1
OTU69	0	0	3	0	0	0	0	0	3	0	0	0
OTU1455	0	1	0	0	1	0	0	0	0	0	1	1
OTU2021	0	0	0	0	1	4	0	0	0	0	0	0
OTU41	0	0	0	0	0	2	1	0	0	0	5	0
OTU2148	0	2	0	0	0	0	0	0	0	0	0	0
OTU796	1	1	0	0	1	1	1	1	0	0	0	0
OTU1348	0	0	0	0	0	0	0	0	0	1	0	0
OTU764	3	1	1	2	0	0	8	2	0	6	1	5
OTU611	0	1	1	0	0	3	0	0	1	0	2	2
OTU757	1	0	0	1	2	1	1	0	0	1	3	3
OTU2134	0	0	0	0	0	0	0	0	0	0	0	1
OTU1474	1	0	0	1	0	0	1	1	0	0	0	0
OTU1670	1	0	0	0	0	0	0	1	0	0	0	2
OTU1822	0	0	0	4	0	0	2	3	1	4	1	0
OTU1708	2	0	0	0	1	0	0	3	3	3	1	0
OTU1492	1	1	0	0	0	0	4	0	1	0	0	2
OTU938	5	0	0	0	0	2	3	1	3	0	4	3
OTU599	6	9	1	2	3	8	4	0	0	1	2	0
OTU2048	1	0	0	0	0	0	0	0	0	0	3	0
OTU1583	1	0	0	0	0	0	0	0	0	0	3	0
OTU762	3	1	0	1	0	4	1	3	2	0	4	2
OTU336	4	10	0	6	0	1	10	4	6	7	15	14
OTU1843	0	0	0	0	2	0	0	0	0	0	0	0
OTU1291	0	3	0	0	0	0	0	1	0	0	1	1
OTU496	2	5	0	2	2	5	3	5	3	3	1	0
OTU1801	3	0	1	0	1	5	0	1	0	2	1	0
OTU1067	0	0	0	0	0	0	0	1	0	0	0	0
OTU1738	0	0	0	0	0	0	1	0	0	0	1	0
OTU1347	0	2	0	1	0	0	0	0	0	0	0	0
OTU2149	0	0	0	0	0	0	1	0	3	0	3	5
OTU2044	0	2	0	1	0	0	0	0	0	0	0	1
OTU1688	1	2	0	0	0	0	0	2	0	3	0	0
OTU1541	1	0	1	1	0	0	0	0	0	0	0	0
OTU780	0	0	1	0	0	0	0	0	0	0	0	0
OTU1886	0	2	1	0	0	0	0	0	0	0	2	0
OTU1479	4	4	0	2	2	2	3	5	0	6	8	2
OTU460	0	0	2	0	5	0	0	0	0	0	0	0
OTU973	1	1	3	0	0	0	4	2	0	2	0	0
OTU935	0	0	4	2	0	0	0	0	3	0	0	0
OTU2117	0	2	0	0	0	0	0	0	0	0	0	0
OTU1901	4	2	1	2	0	0	1	1	0	2	0	0
OTU2099	1	2	0	0	0	0	1	0	0	0	2	0
OTU475	5	3	0	3	2	2	1	1	2	0	4	1
OTU1160	1	2	0	0	0	0	0	0	2	1	0	0
OTU918	0	0	0	3	1	4	0	0	0	0	4	6
OTU1060	0	1	0	3	0	2	0	0	0	1	2	0
OTU1795	1	1	1	7	0	3	0	1	2	0	3	3
OTU882	0	0	0	1	0	1	0	1	0	0	0	0
OTU2225	0	0	0	0	0	1	0	0	0	0	2	1
OTU2027	0	0	0	1	0	0	0	2	0	0	0	0
OTU1056	0	0	0	0	1	0	6	1	1	0	0	0
OTU1288	2	1	1	0	0	0	1	0	0	3	0	1
OTU1891	0	0	0	0	0	0	0	0	1	0	0	0
OTU820	0	2	0	0	0	0	0	1	1	3	1	2
OTU411	5	7	1	1	1	4	2	2	1	7	2	2
OTU1964	1	0	0	0	0	0	0	0	0	0	0	0
OTU1524	1	0	0	0	0	2	0	0	0	0	1	1
OTU2005	2	0	1	2	0	3	2	1	0	2	0	0
OTU956	1	0	2	4	1	1	1	3	0	2	2	1
OTU1797	0	0	0	0	0	0	0	1	0	0	0	0
OTU1419	0	0	0	1	0	0	1	0	0	1	0	0
OTU2196	1	1	0	0	0	1	0	0	0	0	0	0
OTU2037	0	0	0	1	0	0	0	0	0	1	0	0
OTU2218	0	0	3	4	2	3	5	4	3	5	1	4
OTU1863	1	1	0	0	0	0	1	0	2	6	0	0
OTU1604	1	0	0	3	0	3	0	1	0	0	0	0
OTU982	0	1	1	1	1	2	1	1	1	0	0	4
OTU1413	1	2	0	1	1	5	3	2	0	2	4	0
OTU1229	0	1	1	1	1	3	0	0	0	0	2	5
OTU339	6	14	8	19	5	14	6	7	4	17	5	7
OTU1035	6	9	6	17	5	10	3	8	4	7	6	7
OTU347	3	0	0	0	0	0	0	0	0	0	0	0
OTU581	0	0	0	0	0	0	0	0	3	0	0	0
OTU361	4	4	1	6	0	0	13	17	3	10	0	0
OTU1889	0	0	2	0	0	0	0	0	0	0	0	0
OTU1426	1	3	1	3	0	4	1	0	1	2	4	1
OTU1763	1	1	0	1	0	0	0	0	0	0	0	0
OTU1181	1	0	0	0	1	0	0	0	0	2	0	0
